id,text,label,dataset_type,predict_label
32375,Tôi không hiểu sao lại để vậy.,0,train,1
5553,"Không biết tốt xấu! Chất phát như nào nhưng nghe 10 đời ck thì phát khiếp r, không lẽ 10 lần ck đều là lỗi của ck! Phải xem xét lại nếu như ai còn khen! Miền tây   2 đời ck là với họ nhưng 10 đời thì thật là kịn khủng tởm",1,train,0
7102,"con này thực sự nó giống như con thú nhốt lâu ngày, nó chửi cả dân tộc, cho dù thế nào chăng nữa nó cũng phải được truòng trị để làm gương cho những kẻ khác việc nó xin lỗi mọi người có chấp nhận chăng nữa chẳng qua là một tình tiết giảm nhẹ thôi chứ còn tội của nó thì không thể tha thứ được.",1,train,0
43278,"chuyện đời cộng sản lưu vong (7) ***** 21) mười lời tiên tri dành cho con cháu của các đảng viên cộng sản, những điều chắc chắn sẽ diễn ra, cho dù có chối bỏ hay đề phòng đến bao nhiêu thì nó vẫn cứ diễn ra, để các ngươi sẽ phải sống tiếp từng ngày rồi chứng kiến cách mà nó lần lượt tới. - lời tiên tri thứ nhất: cô gái có gia đình là nạn nhân bị cộng sản cướp đất, cô ấy đã trải qua cả tuổi thơ để chứng kiến việc cha mẹ của mình không ngừng kêu oan rồi chết trong nghèo đói và kiệt quệ. rồi nhờ cố gắng rất nhiều nên cô ấy trở thành một y tá, mỗi ngày cô cố sống cố quên đi nỗi bất hạnh của gia đình mình, cố chôn nó thật sâu thật chặt",1,train,0
6289,Cái quần in hệt cái ý thức,1,train,0
42966," các căn cứ pháp lý này được quy định tại các điều 19, 38 và 28 hiến pháp 2013 xác định rằng “mọi người đều được đảm bảo quyền sống và quyền được tham gia quản lý, tham gia giám sát xã hội” dựa trên các quy định này, chúng ta có thể làm văn bản buộc chính quyền việt nam phải có trách nhiệm cứu chữa cho hai nhà hoạt động. chính quyền phải cung cấp đầy đủ thông tin về tình hình chữa bệnh và mọi người có quyền giám sát quá trình khám chữa bệnh đó. tại điều 14 hiến pháp 2013 còn khẳng định thêm, các quyền con người và quyền công dân vừa kể trên chỉ có thể bị giới hạn trong một số trường hợp cần thiết mà thôi",1,train,0
42588," ở mỹ - nơi được xem là “thiên đường” của những nhà “dân chủ” thì giới hạn của tự do ngôn luận được thể hiện chủ yếu qua án lệ của các tòa án, đặc biệt là tòa án tối cao hoa kỳ, cho phép chính quyền ngăn chặn và trừng phạt các phát ngôn có tính chất khiêu dâm, tục tĩu, phỉ báng, xúc phạm và gây hấn, mà không bị xem là vi hiến. tại việt nam, trong bối cảnh bùng nổ của internet và mạng xã hội trong thời đại ngày nay, bên cạnh các mặt tích cực như: người dùng có thể tự do bày tỏ ý kiến, quan điểm, đăng tải hay lan truyền bất cứ thông tin gì thông qua tài khoản cá nhân của mình mà không chịu giới hạn nào. mỗi người đều được thể hiện quyền tự do ngôn luận",0,train,1
38864," - thứ truyền thống gì mà lại ngang nhiên trộm cướp như thế? “truyền thống cách mạng.” * 334) sức mạnh của đảng trong buổi bàn thảo về vấn đề hợp tác kinh doanh, đại diện công ty nước ngoài nói với đại diện công ty quốc doanh: - theo kế hoạch, 30% trong tổng lượng tiền thu về sẽ được dùng vào khâu bảo vệ môi trường, với chủ yếu là đầu tư vào khâu lọc nước thải của quá trình sản xuất. mục đích là để đảm bảo tính dài hạn và ổn định của lần hợp tác này",1,train,0
1278,Thật là nhục nhã,1,train,0
42103,"quảng bình: bệnh viện bị phát hiện có chứa hàng trăm viên ma t.u.ý nguồn tin của phóng viên dân trí, cơ quan công an tại quảng bình vừa tiến hành khám xét để làm rõ một vụ việc liên quan đến ma tú",0,train,1
43519,"cái gọi là 'cảm tính xã hội', là thứ mà con người ở bất cứ đâu và vào bất kỳ thời đại nào thì cũng đều sẽ có. nó là tự nhiên, xuất hiện trong mỗi cá thể và tập thể người. cách đúng để khống chế 'cảm tính xã hội', là dựa vào một hệ thống vận hành minh bạch và khoa học",1,train,0
26122,Không trung sẽ không còn yên tĩnh,0,train,1
15741,Dầu của nó y như nước lã ai bị gạt r mới hiểu,0,train,1
18607,"Với bài này của Sếp nếu chỉ nghe 1 lần sẽ không thể nào hiểu được , nhưng nếu như nghe đi nghe lại nhiều lần thì vẫn đéo hiểu gì luôn :))",0,train,1
15544,con hơn cha ... rồi 😆,0,train,1
43918, việc không hoàn thành các thủ tục bắt buộc mà chúng tôi vừa liệt kê ở trên sẽ khiến các giao dịch không có hiệu lực pháp luật và dẫn đến các tranh chấp dân sự liên quan đến thủ tục hành chính rất phức tạp khó giải quyết sau này. — bpsos – đề án dân quyền việt nam,0,train,1
39285," Mọi người than oán rằng họ bị bỏ tù, nhưng nhà nước ủng hộ họ cứ móc túi ngang nhiên. Đỉnh cao của ngành công nghiệp Việt Nam. Linh",1,train,0
26768,"Mulan không đạt được độ chín và kì vọng của người xem. Vì đa phần người xem, đều biết Mulan sau trở thành huyền thoại có lẽ là tướng nữ lừng danh ở TQ cổ xưa, vì vậy hành động võ thuật ở phim chưa đủ sự thu hút. Phim bị ngấp nghé giữa hư cấu và lịch sử, nếu hư cấu nên hư cấu hẳn, còn lịch sử thì đã có nhiều nhà phim TQ làm rồi.",1,train,0
618,DIễn tập chống khủng bố ở Sài Gòn.,1,train,0
7301,Trần Văn Trung định kéo anti cho sếp à ông,0,train,1
39135,"chia bớt chữ cho nhân dân đêm qua, một đồng chí đồn trưởng biên phòng vùng cao nhắn cho tôi, xin hỗ trợ một số trang thiết bị cho các cháu học sinh trên địa bàn. trong đó có xin gần 200 bộ sách giáo khoa lớp 7. tôi hỏi sao lại xin mỗi sách giáo khoa lớp 7 thì đồn trưởng giải thích rằng, trường thcs có 4 cấp học thì từ năm ngoái là lớp 6, năm nay là lớp 7 học theo chương trình giáo dục phổ thông mới nên thay toàn bộ sách giáo khoa",0,train,1
9416,Đỗ Thuỷ Trinh giông y mạng nhà m 😀,0,train,1
40400," Các lớp học của họ bị gián đoạn và họ bị yêu cầu ngừng lại vì không có ""sự cho phép"" từ chính quyền. Nhóm trẻ không ngừng phản đối và tiếp tục tổ chức các buổi học bí mật tại các nơi ẩn náu trong làng. Họ tự tìm cách vận dụng công nghệ để truyền đạt kiến thức và thông điệp của mình một cách an toàn, thậm chí khi chính quyền cố gắng kiểm soát internet và truy cứu các hoạt động trực tuyến của họ",1,train,0
32582,Hollywood mau tận dụng cảnh này đóng phim khỏi dựng cảnh.,0,train,1
43079,"""dù liên tục bị đứng vào nhóm chót bảng xếp hạng về chỉ số tự do trong nhiều năm liền, việt nam vẫn không phải là cái tên được chú ý trong báo cáo chung do freedom house công bố mới đây. điều này, theo ông [nguyễn đình thắng], là vì tình hình tự do, nhân quyền ở việt nam luôn luôn tệ hại, không có bất kỳ thay đổi nào để freedom house có thể chú ý, làm nổi bậc trong báo cáo chung: “thường thường khi mà họ cập nhật thì họ chỉ ra những diễn tiến quan trọng trong năm trước. bản báo cáo năm nay, do là tình hình nhân quyền trong năm 2023 không có gì thay đổi hết và nó bị xấu đến gần như là tột cùng rồi, không thể xấu hơn được nữa cho nên không có gì nhiều để làm nổi bật lên trong bảng báo cáo chung",0,train,1
7409,Tóm lại bạn cũng như Linh nóc Toàn là lũ thất học vì một chút tiền lợi nhuận chửi nhau kiếm tiền,1,train,0
1243,Gần toàn gái xinh mà hành xử kém quá.,1,train,0
15761,Quần chất vcl ra :)),0,train,1
11048,Chúng nó vay xong làm ăn thua lỗ tính bán cả nước đi trả nợ mà ..?... nhà tiên tri nói thế,0,train,1
30684,"Ưu đãi về thuế là tốt. Chi phí nhân công Ấn độ rõ ràng cạnh tranh hơn TQ, cũng là tốt. Tuy nhiên ngành sản xuất Ấn độ lại phụ thuộc vào thượng nguồn nguyên liệu từ Trung Quốc. Ví dụ như ngành dược phẩm mà Ấn độ rất tự hào. Top 2-3 thế giới, sản xuất nhiều loại thuốc với giá hợp lý, nhiều người nước ngoài phải đến Ấn độ mua thuốc. Nhưng API thành phần hoạt tính của thuốc, nguyên liệu đầu vào chính, Ấn độ phụ thuộc hoàn toàn vào TQ. Tuy nhiên Ấn độ đang làm đúng, chỉ cần một tác động trong chính xách, ví dụ như gói 23B USD, sẽ thúc đẩy nhiều công ty đến mở nhà máy, vì rốt cuộc thị trường 1,3 tỷ dân là đủ hấp dẫn bất kỳ nhà sản xuất nào.",0,train,1
