id,text,label,dataset_type,predict_label,gemini_label,check
8849,Sao lại cứ đến nụ cười . lên không nghe rõ lời nói.ngừng cho giọng nói vào vô lý,0,dev,1,0,False
8851,Chúng nó đang bận vơ vét thanh lý đất nước này,1,dev,0,1,False
8853,top1 KICM. Ca sĩ hát trên giọng hát của người khác😂😂,1,dev,0,0,True
8864,Người du lịch ko muốn quay lại. Đi 1 lần là muốn chửi thề rồi.,1,dev,0,1,False
8870,Ns vậy lại xúc phạm cái đầu b**i 😐,1,dev,0,1,False
8877,Cô mina dễ thương hơn ml của thầy 😀,1,dev,0,0,True
8884,Trị ơi con Việt kêu hàng nó qua mất dạy rồi,1,dev,0,1,False
8893,Minh Đặngg chúng nó bắt chước cô mình 🤣,0,dev,1,0,False
8909,Những kẻ cướp ngày đang bênh vực tên trộm đêm :),1,dev,0,1,False
8915,Nhìn mặt xanh xao mà thương bác thật sự ... nhắc đến lại DM NHUNG,1,dev,0,1,False
8923,Về nhà nhớ treo ảnh thờ t cao hơn tổ tiên nhà chúng m nghe chửa <3,1,dev,0,1,False
8940,Cái a nào hi sinh xe máy cũng đáng. Giờ thì quy định mới mỗi xe phải có 4 bình cứu hoả loại to. Vl mấy bố đầu tôm,1,dev,0,1,False
8941,Bạn nói như phát tự vả vào mồm bạn vậy! Tự chơi 1 mình đi chứ thế này đ ai dám chơi cùng,1,dev,0,1,False
8954,Xã hội bây giờ phức tạp quá,0,dev,1,0,False
8956,Trùm cuối cmn hú vía :)),1,dev,0,0,True
8957,Nhân ngày nhà giáo Việt Nam em cảm ơn thầy vì những giáo án xịn xò con bò,0,dev,1,0,False
8962,"May mà đã cho HS nghỉ học, chỉ cần 1 hs có gia đình bị lây thôi là toang tất cả.",0,dev,1,0,False
8973,ai kêu đi kím chuyện đá xéo minh hiếu trong khi ngta dell dụng j đến mình,1,dev,0,0,True
8974,CÓ THẰNG THÔNG THẠO 29 THỨ TIẾNG LÀM CHỦ TỊCH PẮC PÓ,1,dev,0,0,True
9005,Không có một thứ chủ nghĩa nào mà lại tàn phá đất nước và con người như chủ nghĩa này. Các bạn trẻ hãy luôn kiềm chế mình để sau mỗi cuộc hân hoan về bóng đá thì lại đem đau thương về gia đình của mình lâu dài.,1,dev,0,1,False
9030,"Ai đúng ai sai, kết cuộc sẽ rõ. Mọi người nhìn sự việc theo quan điểm riêng của mình, không hẳn là khách quan! Hãy đợi xem sao?",0,dev,1,0,False
9033,Tương lai thanh niên Bến Tre đổi qua nghề ' Trộm ' hết.,1,dev,0,1,False
9047,Độ khuyên mn ủng hộ cho sếp hơn view của bọn chó BTS đi :3,1,dev,0,1,False
9049,Hieu Do :)) wut,0,dev,1,0,False
9053,Tuấn Mạnh :))) Nhật nổi tiếng biến thái mà,1,dev,0,1,False
9056,Làm riết thấy chán. Lên cao thủ lẹ đi ông già,1,dev,0,0,True
9061,Quan ngại sâu sắc,0,dev,1,0,False
9080,Có chữ nào đâu! Mua bằng thì đúng hơn,1,dev,0,0,True
9087,Mặt nó lại ngáo 🤣,0,dev,1,1,True
9097,Mầm mống tai họa của xã hội,1,dev,0,0,True
9106,Ở quê vùng sâu vùng xa chỉ có mỗi cái TV xem vtv nên dân vẫn tin yêu đãng lắm!,0,dev,1,1,True
9110,b52 ơi lứng quá B52 i,0,dev,1,0,False
9126,Thề chứ 2 bố con nhà này ghép mặt nhau là hợp lí vlone,1,dev,0,0,True
