id,text,label,dataset_type,predict_label
8849,Sao lại cứ đến nụ cười . lên không nghe rõ lời nói.ngừng cho giọng nói vào vô lý,0,dev,1
8851,Chúng nó đang bận vơ vét thanh lý đất nước này,1,dev,0
8853,top1 KICM. Ca sĩ hát trên giọng hát của người khác😂😂,1,dev,0
8864,Người du lịch ko muốn quay lại. Đi 1 lần là muốn chửi thề rồi.,1,dev,0
8870,Ns vậy lại xúc phạm cái đầu b**i 😐,1,dev,0
8877,Cô mina dễ thương hơn ml của thầy 😀,1,dev,0
8884,Trị ơi con Việt kêu hàng nó qua mất dạy rồi,1,dev,0
8893,Minh Đặngg chúng nó bắt chước cô mình 🤣,0,dev,1
8909,Những kẻ cướp ngày đang bênh vực tên trộm đêm :),1,dev,0
8915,Nhìn mặt xanh xao mà thương bác thật sự ... nhắc đến lại DM NHUNG,1,dev,0
8923,Về nhà nhớ treo ảnh thờ t cao hơn tổ tiên nhà chúng m nghe chửa <3,1,dev,0
8940,Cái a nào hi sinh xe máy cũng đáng. Giờ thì quy định mới mỗi xe phải có 4 bình cứu hoả loại to. Vl mấy bố đầu tôm,1,dev,0
8941,Bạn nói như phát tự vả vào mồm bạn vậy! Tự chơi 1 mình đi chứ thế này đ ai dám chơi cùng,1,dev,0
8954,Xã hội bây giờ phức tạp quá,0,dev,1
8956,Trùm cuối cmn hú vía :)),1,dev,0
8957,Nhân ngày nhà giáo Việt Nam em cảm ơn thầy vì những giáo án xịn xò con bò,0,dev,1
8962,"May mà đã cho HS nghỉ học, chỉ cần 1 hs có gia đình bị lây thôi là toang tất cả.",0,dev,1
8973,ai kêu đi kím chuyện đá xéo minh hiếu trong khi ngta dell dụng j đến mình,1,dev,0
8974,CÓ THẰNG THÔNG THẠO 29 THỨ TIẾNG LÀM CHỦ TỊCH PẮC PÓ,1,dev,0
9005,Không có một thứ chủ nghĩa nào mà lại tàn phá đất nước và con người như chủ nghĩa này. Các bạn trẻ hãy luôn kiềm chế mình để sau mỗi cuộc hân hoan về bóng đá thì lại đem đau thương về gia đình của mình lâu dài.,1,dev,0
9030,"Ai đúng ai sai, kết cuộc sẽ rõ. Mọi người nhìn sự việc theo quan điểm riêng của mình, không hẳn là khách quan! Hãy đợi xem sao?",0,dev,1
9033,Tương lai thanh niên Bến Tre đổi qua nghề ' Trộm ' hết.,1,dev,0
9047,Độ khuyên mn ủng hộ cho sếp hơn view của bọn chó BTS đi :3,1,dev,0
9049,Hieu Do :)) wut,0,dev,1
9053,Tuấn Mạnh :))) Nhật nổi tiếng biến thái mà,1,dev,0
9056,Làm riết thấy chán. Lên cao thủ lẹ đi ông già,1,dev,0
9061,Quan ngại sâu sắc,0,dev,1
9080,Có chữ nào đâu! Mua bằng thì đúng hơn,1,dev,0
9087,Mặt nó lại ngáo 🤣,0,dev,1
9097,Mầm mống tai họa của xã hội,1,dev,0
9106,Ở quê vùng sâu vùng xa chỉ có mỗi cái TV xem vtv nên dân vẫn tin yêu đãng lắm!,0,dev,1
9110,b52 ơi lứng quá B52 i,0,dev,1
9126,Thề chứ 2 bố con nhà này ghép mặt nhau là hợp lí vlone,1,dev,0
9146,chắc quay clip 18+ được rồi,1,dev,0
9160,"Nếu bạn đi khám có BHYT- BHXH tại các BV quận cũng sẽ nhận được kết quả bệnh rất nặng và kèm theo bọc thuốc to về uống cho no, 6 tháng sau bạn sẽ bị suy thận, suy gan vì thuốc.",1,dev,0
9164,"chúng nó quên nhiều thứ, nhưng ăn cướp là việc chúng nó không bao giờ quên",1,dev,0
9165,Toang x2,1,dev,0
9181,Sô bít càng ngày càng xàm cái giống gì cũng lên sóng,1,dev,0
9190,Thân Hoài Thương lại thêm 1 đứa tai trâu :)),1,dev,0
9192,Giờ trung thu nó là mùa sinh sản rồii..đêm 14 là chúng nó bắt đầu phối giống,0,dev,1
9193,"Toàn bọn đầu trộm , đuôi cướp !",1,dev,0
9194,"Lông ngông cuồng có chết cũng đâu có sao. Hay! Co Thương nghi quỹ vừa lùn  vừa trọc phỏng vấn là đúng rồi
XẠO KE",1,dev,0
9199,Nhìn mặt cụ chắc vào đảng của rằm tháng 7 ^^,0,dev,1
9200,Không có csgt nào tốt cả .,1,dev,0
9208,Nổ quá bà cụ ơi,1,dev,0
9232,T cố gắng nghe hết nhưng đâu tai thật sự,1,dev,0
9234,Hương Thảo vkl,1,dev,0
9239,Ngon! Đeo tai nghe vào và sục cặc thôi!!,1,dev,0
9242,"Nguyễn Việt Nam ,  Ủa cứt 🐕‍🦺 vàng 👈 mới biết đó nghen. 🖕",1,dev,0
9266,nhắn thêm chữ địt chị mày nữa chất vlon a êiiiii,1,dev,0
9267,Con này hổn Như gấu có gì mà ngưỡng mộ,1,dev,0
9269,Thứ dô diên,1,dev,0
